"","is_senior_citizen","monthly_charges","total_charges","churn","payment_type_Bank transfer (automatic)","payment_type_Credit card (automatic)","payment_type_Electronic check","phone_service_1","phone_service_2","internet_service_1","internet_service_2","tenure"
"1",0,59.9,542.4,0,0,0,0,0,1,1,0,9
"2",0,73.9,280.85,1,0,0,1,1,0,0,1,3
"3",1,98,1237.85,1,0,0,1,1,0,0,1,12
"4",1,83.9,267.4,1,0,0,0,1,0,0,1,3
"5",0,69.4,571.45,0,0,1,0,1,0,1,0,8
"6",1,48.2,340.35,0,0,0,1,1,0,1,0,7
"7",0,68.95,351.5,0,0,0,1,1,0,0,1,5
"8",1,72.1,72.1,0,0,0,1,0,1,0,1,1
"9",1,25.1,25.1,1,0,0,1,0,0,1,0,1
"10",0,94.1,1215.6,1,0,0,1,0,1,0,1,12
"11",0,83.75,1849.95,0,0,0,1,0,1,0,1,22
"12",0,19.85,57.2,0,0,0,0,1,0,0,0,2
"13",0,20.35,76.35,1,0,0,0,1,0,0,0,3
"14",0,30.5,30.5,1,1,0,0,0,0,1,0,1
"15",0,89.8,4959.6,0,1,0,0,0,1,0,1,55
"16",0,94.75,5597.65,0,0,0,1,0,1,0,1,59
"17",0,75.75,1929,0,1,0,0,0,1,0,1,25
"18",1,49.25,91.1,1,0,0,1,1,0,1,0,1
"19",0,45,1242.45,0,0,0,0,0,0,1,0,27
"20",0,44.3,44.3,0,0,0,0,1,0,1,0,1
"21",0,94.2,2607.6,0,0,0,1,1,0,0,1,27
"22",0,99.95,3767.4,0,0,1,0,0,1,0,1,37
"23",1,91.55,3673.6,0,0,0,1,1,0,0,1,40
"24",0,104.5,4036.85,1,0,1,0,0,1,0,1,38
"25",1,95,1120.3,1,0,0,1,1,0,0,1,11
"26",0,50.35,314.55,0,0,0,1,0,1,1,0,6
"27",0,64.5,1888.45,0,0,0,0,0,1,1,0,29
"28",0,19.4,529.8,0,0,0,1,1,0,0,0,27
"29",0,71.4,1212.1,0,1,0,0,0,1,1,0,16
"30",0,19.85,19.85,1,0,0,1,1,0,0,0,1
"31",0,99.75,99.75,1,0,0,1,0,1,0,1,1
"32",1,93.95,2861.45,0,0,0,0,1,0,0,1,30
"33",0,90.8,1442.2,0,1,0,0,0,1,0,1,15
"34",0,107.55,3645.5,0,0,0,1,0,1,0,1,33
"35",0,19.95,187.75,0,1,0,0,1,0,0,0,9
"36",0,111.2,2317.1,1,0,0,1,0,1,0,1,20
"37",0,40.2,1448.8,1,1,0,0,0,0,1,0,36
"38",1,85.8,2193.65,0,0,1,0,1,0,0,1,25
"39",0,73.85,511.25,1,0,0,1,0,1,0,1,6
"40",0,101.35,1553.95,1,0,0,1,1,0,0,1,15
"41",0,45.8,1147,0,0,0,0,0,0,1,0,25
"42",0,94.65,6747.35,0,0,0,1,1,0,0,1,71
"43",0,89.4,5976.9,0,0,1,0,0,1,0,1,66
"44",0,86.25,181.65,1,0,0,1,1,0,0,1,2
"45",0,89.75,1052.4,1,1,0,0,0,1,0,1,11
"46",0,80.2,80.2,1,0,0,0,0,1,0,1,1
"47",0,19.85,63.75,1,0,0,0,1,0,0,0,3
"48",0,90.35,190.5,0,0,0,1,1,0,0,1,2
"49",1,86.45,2401.05,0,1,0,0,0,1,0,1,27
"50",0,20.3,511.25,0,0,0,1,1,0,0,0,25
"51",1,101.25,3949.15,0,0,0,1,0,1,0,1,39
"52",0,94.7,2362.1,1,1,0,0,0,1,0,1,24
"53",0,70.9,70.9,1,0,0,0,1,0,0,1,1
"54",0,54.2,1152.7,1,0,0,1,1,0,1,0,21
"55",0,86.85,1564.4,0,0,0,1,0,1,0,1,18
"56",1,109.9,3694.7,0,1,0,0,0,1,0,1,33
"57",0,19.95,58,0,0,0,0,1,0,0,0,2
"58",0,87.2,4017.45,0,0,0,1,0,1,0,1,46
"59",1,89,605.45,0,0,0,1,1,0,0,1,6
"60",0,74.4,1972.35,0,0,0,0,1,0,0,1,26
"61",0,20.05,33.7,0,0,0,0,1,0,0,0,1
"62",1,74.75,2111.3,0,0,0,1,1,0,1,0,28
"63",0,85.25,855.3,1,0,0,1,0,1,0,1,10
"64",0,75.2,633.85,0,0,1,0,0,1,0,1,8
"65",1,84.35,474.9,1,0,0,1,0,1,0,1,5
"66",0,105.1,1582.75,1,0,0,1,1,0,0,1,15
"67",0,19.4,198.1,0,1,0,0,1,0,0,0,10
"68",0,50.35,1098.85,0,0,0,1,0,0,1,0,21
"69",0,84.3,2438.6,0,0,1,0,1,0,0,1,28
"70",0,84.8,371.9,1,1,0,0,0,1,0,1,4
"71",0,85.85,167.3,1,0,0,1,1,0,0,1,1
"72",1,75.35,273.4,0,0,0,1,1,0,0,1,3
"73",1,48.8,2555.05,0,0,1,0,0,0,1,0,52
"74",0,47.15,223.15,1,0,0,1,0,1,1,0,4
"75",1,44.3,89.3,0,0,0,1,1,0,1,0,2
"76",0,84.3,235.05,0,0,0,1,1,0,0,1,2
"77",0,59.55,1144.6,0,0,0,1,0,1,1,0,19
"78",0,75.9,75.9,1,0,0,1,1,0,0,1,1
"79",0,85.55,85.55,1,0,1,0,1,0,0,1,1
"80",0,93.35,1444.65,1,0,0,1,0,1,0,1,15
"81",0,109.65,5405.8,0,1,0,0,0,1,0,1,49
"82",0,84.25,3847.6,0,0,0,0,0,1,0,1,45
"83",0,19.7,19.7,0,0,0,0,1,0,0,0,1
"84",0,50.1,50.1,0,0,0,1,0,1,1,0,1
"85",0,81.05,2227.1,1,0,0,1,1,0,0,1,27
"86",0,62.45,2045.55,0,1,0,0,0,1,1,0,32
"87",1,75.2,1929.35,1,1,0,0,1,0,0,1,25
"88",0,90.4,268.45,0,0,0,1,1,0,0,1,2
"89",0,85.65,181.5,1,0,0,1,0,1,0,1,2
"90",0,72.9,651.4,1,0,0,0,1,0,1,0,8
"91",1,74.9,2303.35,1,0,0,1,0,1,0,1,30
"92",0,100.7,1522.7,0,1,0,0,1,0,0,1,15
"93",0,19.75,58.85,1,0,0,1,1,0,0,0,2
"94",0,58.85,465.7,0,0,0,0,0,0,1,0,7
"95",0,54.4,475.1,0,0,0,1,1,0,1,0,8
"96",0,21.05,113.85,1,0,0,0,1,0,0,0,5
"97",0,103.7,5036.3,1,1,0,0,0,1,0,1,48
"98",1,29.3,355.9,0,0,0,0,0,0,1,0,12
"99",0,54.75,1510.3,0,0,1,0,1,0,1,0,27
"100",0,60.55,1982.6,0,0,0,1,1,0,1,0,32
"101",0,86.2,4524.05,0,0,0,1,0,1,1,0,52
"102",0,95.45,95.45,1,0,0,1,0,1,0,1,1
"103",0,63.95,318.1,0,0,1,0,1,0,1,0,4
"104",0,101.15,842.9,1,0,0,1,1,0,0,1,8
"105",0,19.25,86.05,0,0,0,0,1,0,0,0,4
"106",0,96.1,453.4,1,0,0,1,1,0,0,1,4
"107",0,99.15,6010.05,1,0,0,1,0,1,0,1,60
"108",0,19.85,178.8,0,0,0,0,1,0,0,0,9
"109",0,49.45,314.6,0,0,0,1,1,0,1,0,6
"110",0,88.8,2274.35,1,1,0,0,1,0,0,1,25
"111",0,55.15,322.9,0,0,0,0,1,0,1,0,5
"112",0,84.8,888.75,0,0,0,1,1,0,0,1,10
"113",0,80.55,80.55,1,0,0,1,1,0,0,1,1
"114",0,58.7,168.6,0,0,1,0,1,0,1,0,2
"115",0,99.85,2331.3,1,0,0,1,1,0,0,1,23
"116",0,45.35,89.5,1,0,0,1,1,0,1,0,1
"117",0,48.55,48.55,1,0,0,0,1,0,1,0,1
"118",1,100.2,6851.65,1,0,0,1,0,1,0,1,68
"119",0,94.7,740.3,1,0,0,1,1,0,0,1,7
"120",0,70.1,70.1,1,0,0,1,1,0,0,1,1
"121",0,97.9,315.3,1,0,0,1,1,0,0,1,3
"122",0,69.95,330.15,1,0,0,1,1,0,0,1,4
"123",1,81.35,233.7,1,0,0,1,0,1,0,1,2
"124",0,106.3,4443.45,1,0,0,1,0,1,0,1,41
"125",0,89.3,577.6,1,0,0,1,1,0,0,1,6
"126",0,19.9,320.45,0,0,0,0,1,0,0,0,16
"127",0,102.1,5885.4,1,0,1,0,0,1,0,1,57
"128",1,98.9,2911.3,1,0,0,1,1,0,0,1,29
"129",0,45.9,521.9,0,1,0,0,1,0,1,0,11
"130",0,20.05,471.7,0,0,1,0,1,0,0,0,23
"131",0,84.9,3067.2,1,0,0,1,0,1,0,1,36
"132",0,108.15,3432.9,1,0,1,0,0,1,0,1,31
"133",0,102.55,1742.5,0,0,0,1,0,1,0,1,16
"134",0,78.2,1468.75,0,0,0,1,1,0,0,1,18
"135",0,91.2,3382.3,0,1,0,0,0,1,0,1,37
"136",0,19.35,46.35,0,0,0,0,1,0,0,0,2
"137",0,50.15,50.15,0,0,0,1,1,0,1,0,1
"138",0,44.6,122.7,0,0,0,1,1,0,1,0,2
"139",0,34.7,34.7,1,0,0,1,0,0,1,0,1
"140",0,93.6,3366.05,0,0,0,1,1,0,0,1,35
"141",0,90.6,1943.2,1,0,0,1,0,1,0,1,21
"142",0,57.95,1271.8,0,0,0,0,1,0,1,0,21
"143",0,88.25,1460.65,1,0,0,1,0,1,0,1,16
"144",0,85.8,272.2,1,0,0,1,1,0,0,1,3
"145",0,20,198.7,0,0,1,0,1,0,0,0,9
"146",0,64.4,1398.6,0,0,1,0,1,0,1,0,21
"147",0,74.4,139.4,1,0,0,1,1,0,0,1,1
