"","gender","is_senior_citizen","partner","dependents","phone_service","internet_service","payment_type","monthly_charges","total_charges","churn","tenure"
"1","Male","No","No","No","Two-plus lines","DSL","Mailed check",60,542.4,"No",9
"2","Male","No","No","No","One line","Fiber optic","Electronic check",74,280.85,"Yes",3
"3","Male","Yes","Yes","No","One line","Fiber optic","Electronic check",98,1237.85,"Yes",12
"4","Female","Yes","Yes","No","One line","Fiber optic","Mailed check",84,267.4,"Yes",3
"5","Female","No","No","Yes","One line","DSL","Credit card",69,571.45,"No",8
"6","Female","Yes","No","No","One line","DSL","Electronic check",48,340.35,"No",7
"7","Female","No","Yes","No","One line","Fiber optic","Electronic check",69,351.5,"No",5
"8","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",72,72.1,"No",1
"9","Male","Yes","No","No","None","DSL","Electronic check",25,25.1,"Yes",1
"10","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",94,1215.6,"Yes",12
"11","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",84,1849.95,"No",22
"12","Female","No","No","No","One line","None","Mailed check",20,57.2,"No",2
"13","Female","No","Yes","Yes","One line","None","Mailed check",20,76.35,"Yes",3
"14","Female","No","Yes","Yes","None","DSL","Bank transfer",30,30.5,"Yes",1
"15","Female","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",90,4959.6,"No",55
"16","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",95,5597.65,"No",59
"17","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",76,1929,"No",25
"18","Male","Yes","No","No","One line","DSL","Electronic check",49,91.1,"Yes",1
"19","Male","No","No","Yes","None","DSL","Mailed check",45,1242.45,"No",27
"20","Male","No","No","No","One line","DSL","Mailed check",44,44.3,"No",1
"21","Male","No","No","No","One line","Fiber optic","Electronic check",94,2607.6,"No",27
"22","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Credit card",100,3767.4,"No",37
"23","Female","Yes","No","No","One line","Fiber optic","Electronic check",92,3673.6,"No",40
"24","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",104,4036.85,"Yes",38
"25","Female","Yes","No","No","One line","Fiber optic","Electronic check",95,1120.3,"Yes",11
"26","Female","No","Yes","No","Two-plus lines","DSL","Electronic check",50,314.55,"No",6
"27","Male","No","No","No","Two-plus lines","DSL","Mailed check",64,1888.45,"No",29
"28","Male","No","No","No","One line","None","Electronic check",19,529.8,"No",27
"29","Male","No","No","No","Two-plus lines","DSL","Bank transfer",71,1212.1,"No",16
"30","Male","No","No","No","One line","None","Electronic check",20,19.85,"Yes",1
"31","Male","No","No","Yes","Two-plus lines","Fiber optic","Electronic check",100,99.75,"Yes",1
"32","Male","Yes","Yes","Yes","One line","Fiber optic","Mailed check",94,2861.45,"No",30
"33","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",91,1442.2,"No",15
"34","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",108,3645.5,"No",33
"35","Female","No","Yes","No","One line","None","Bank transfer",20,187.75,"No",9
"36","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",111,2317.1,"Yes",20
"37","Male","No","Yes","Yes","None","DSL","Bank transfer",40,1448.8,"Yes",36
"38","Female","Yes","No","No","One line","Fiber optic","Credit card",86,2193.65,"No",25
"39","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",74,511.25,"Yes",6
"40","Male","No","No","No","One line","Fiber optic","Electronic check",101,1553.95,"Yes",15
"41","Female","No","No","Yes","None","DSL","Mailed check",46,1147,"No",25
"42","Male","No","Yes","No","One line","Fiber optic","Electronic check",95,6747.35,"No",71
"43","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",89,5976.9,"No",66
"44","Female","No","No","No","One line","Fiber optic","Electronic check",86,181.65,"Yes",2
"45","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",90,1052.4,"Yes",11
"46","Female","No","No","No","Two-plus lines","Fiber optic","Mailed check",80,80.2,"Yes",1
"47","Female","No","No","No","One line","None","Mailed check",20,63.75,"Yes",3
"48","Female","No","Yes","No","One line","Fiber optic","Electronic check",90,190.5,"No",2
