,senior_citizen,tenure,internet_service_type_id,contract_type_id,payment_type_id,monthly_charges,total_charges,male,partner_Yes,dependents_Yes,phone_service_Yes,multiple_lines_Yes,online_security_Yes,online_backup_Yes,device_protection_Yes,tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes,paperless_billing_Yes,churn
0,0,9,1,2,2,65.6,593.3,0,1,1,1,0,0,1,0,1,1,0,1,0
1,0,9,1,1,2,59.9,542.4,1,0,0,1,1,0,0,0,0,0,1,0,0
2,0,4,2,1,1,73.9,280.85,1,0,0,1,0,0,0,1,0,0,0,1,1
3,1,13,2,1,1,98.0,1237.85,1,1,0,1,0,0,1,1,0,1,1,1,1
4,1,3,2,1,2,83.9,267.4,0,1,0,1,0,0,0,0,1,1,0,1,1
5,0,9,1,1,4,69.4,571.45,0,0,1,1,0,0,0,0,1,1,1,1,0
6,1,71,2,3,3,109.7,7904.25,0,1,0,1,0,1,1,1,1,1,1,1,0
7,0,63,2,3,4,84.65,5377.8,1,1,0,1,1,1,0,0,1,0,0,1,0
8,1,7,1,1,1,48.2,340.35,0,0,0,1,0,1,0,0,0,0,0,1,0
9,0,65,1,3,2,90.45,5957.9,0,1,1,1,1,1,1,1,1,1,1,1,0
10,0,54,1,3,4,45.2,2460.55,1,0,0,0,0,1,0,0,1,1,0,0,0
11,0,72,2,3,4,116.8,8456.75,0,1,1,1,1,1,1,1,1,1,1,1,0
12,0,5,2,1,1,68.95,351.5,0,1,0,1,0,0,0,0,0,0,0,1,0
13,0,72,2,3,3,101.3,7261.25,0,0,0,1,1,1,1,1,0,1,0,1,0
14,0,56,1,3,3,45.05,2560.1,0,0,0,0,0,1,1,1,1,0,0,0,0
15,0,71,2,3,4,95.75,6849.4,0,1,1,1,1,0,1,1,0,0,1,1,0
16,0,34,1,2,2,61.25,1993.2,0,1,1,0,0,1,0,1,1,1,1,0,0
17,1,1,2,1,1,72.1,72.1,0,0,0,1,1,0,0,0,0,0,0,1,0
18,1,45,1,2,4,62.7,2791.5,1,0,0,1,0,1,0,1,0,0,1,0,1
19,1,1,1,1,1,25.1,25.1,1,0,0,0,0,0,0,0,0,0,0,1,1
20,1,50,3,2,1,25.2,1306.3,0,1,0,1,1,0,0,0,0,0,0,0,0
21,0,13,2,1,1,94.1,1215.6,0,1,0,1,1,0,1,1,0,1,0,0,1
22,0,23,2,1,1,83.75,1849.95,0,1,1,1,1,0,0,0,0,1,0,1,0
23,0,3,3,1,2,19.85,57.2,0,0,0,1,0,0,0,0,0,0,0,0,0
24,0,4,3,1,2,20.35,76.35,0,1,1,1,0,0,0,0,0,0,0,0,1
25,0,1,1,1,3,30.5,30.5,0,1,1,0,0,1,0,0,0,0,0,0,1
26,0,55,2,2,3,103.7,5656.75,0,1,1,1,0,0,1,1,1,1,1,1,0
27,0,54,3,3,4,20.4,1090.6,1,1,1,1,0,0,0,0,0,0,0,0,0
28,0,26,3,2,3,19.6,471.85,1,0,0,1,0,0,0,0,0,0,0,1,0
29,0,69,3,3,3,19.7,1396.9,0,1,1,1,0,0,0,0,0,0,0,0,0
30,0,37,2,2,4,91.2,3247.55,1,1,1,1,0,0,0,0,0,1,1,0,0
31,0,49,3,2,3,20.45,900.9,0,1,0,1,0,0,0,0,0,0,0,0,0
32,0,66,2,2,3,115.8,7942.15,1,1,0,1,1,1,1,1,1,1,1,0,0
33,0,67,3,2,1,20.55,1343.4,0,0,0,1,0,0,0,0,0,0,0,0,0
34,0,20,1,3,4,39.4,825.4,1,1,1,0,0,1,0,1,1,0,0,1,0
35,0,43,3,3,1,25.1,1070.15,0,0,1,1,1,0,0,0,0,0,0,1,0
36,0,55,2,1,3,89.8,4959.6,0,1,0,1,1,1,0,0,0,1,0,1,0
37,0,59,2,1,1,94.75,5597.65,0,1,0,1,1,1,1,0,0,1,0,1,0
38,0,12,3,3,3,20.3,224.5,0,1,1,1,0,0,0,0,0,0,0,0,0
39,0,27,2,1,3,75.75,1929.0,1,1,1,1,1,0,0,0,0,0,0,1,0
40,1,2,1,1,1,49.25,91.1,1,0,0,1,0,1,0,0,0,0,0,1,1
41,0,27,1,2,2,78.2,2078.95,0,0,0,1,0,0,1,1,1,1,1,0,0
42,0,25,3,3,4,25.5,630.6,1,1,1,1,1,0,0,0,0,0,0,0,0
43,0,25,1,2,3,61.6,1611.0,1,1,1,1,0,1,1,1,0,0,0,1,0
44,0,29,1,1,2,45.0,1242.45,1,0,1,0,0,1,1,1,1,0,0,1,0
45,0,72,1,3,3,85.15,6316.2,1,1,0,1,1,0,1,1,1,1,1,1,0
46,0,14,1,2,4,51.45,727.85,0,0,0,1,0,0,1,0,0,0,0,0,0
47,0,35,2,2,1,99.25,3532.0,0,0,0,1,0,0,0,1,1,1,1,1,0
