"","is_senior_citizen","churn","payment_type_Electronic check","phone_service_0","phone_service_1","internet_service_0","internet_service_1","tenure"
"1",0,0,0,0,0,0,1,9.0550918196995
"2",0,1,1,0,1,0,0,3.80040595399188
"3",1,1,1,0,1,0,0,12.6311224489796
"4",1,1,0,0,1,0,0,3.18712753277712
"5",0,0,0,0,1,0,1,8.23414985590778
"6",1,0,1,0,1,0,1,7.06120331950207
"7",0,0,1,0,1,0,0,5.09789702683104
"8",1,0,1,0,0,0,0,1
"9",1,1,1,1,0,0,1,1
"10",0,1,1,0,0,0,0,12.9181721572795
"11",0,0,1,0,0,0,0,22.0889552238806
"12",0,0,0,0,1,1,0,2.8816120906801
"13",0,1,0,0,1,1,0,3.75184275184275
"14",0,1,0,1,0,0,1,1
"15",0,0,0,0,0,0,0,55.2293986636971
"16",0,0,1,0,0,0,0,59.0781002638522
"17",0,0,0,0,0,0,0,25.4653465346535
"18",1,1,1,0,1,0,1,1.8497461928934
"19",0,0,0,1,0,0,1,27.61
"20",0,0,0,0,1,0,1,1
"21",0,0,1,0,1,0,0,27.6815286624204
"22",0,0,0,0,0,0,0,37.6928464232116
"23",1,0,1,0,1,0,0,40.1267067176406
"24",0,1,0,0,0,0,0,38.6301435406699
"25",1,1,1,0,1,0,0,11.7926315789474
"26",0,0,1,0,0,0,1,6.24726911618669
"27",0,0,0,0,0,0,1,29.2782945736434
"28",0,0,1,0,1,1,0,27.3092783505155
"29",0,0,0,0,0,0,1,16.9761904761905
"30",0,1,1,0,1,1,0,1
"31",0,1,1,0,0,0,0,1
"32",1,0,0,0,1,0,0,30.4571580627994
"33",0,0,0,0,0,0,0,15.8832599118943
"34",0,0,1,0,0,0,0,33.8958623895862
"35",0,0,0,0,1,1,0,9.41102756892231
"36",0,1,1,0,0,0,0,20.8372302158273
"37",0,1,0,1,0,0,1,36.0398009950249
"38",1,0,0,0,1,0,0,25.5670163170163
"39",0,1,1,0,0,0,0,6.92281651997292
"40",0,1,1,0,1,0,0,15.332511100148
"41",0,0,0,1,0,0,1,25.0436681222707
"42",0,0,1,0,1,0,0,71.2873745377707
"43",0,0,0,0,0,0,0,66.8557046979866
"44",0,1,1,0,1,0,0,2.10608695652174
"45",0,1,0,0,0,0,0,11.7259052924791
"46",0,1,0,0,0,0,0,1
"47",0,1,0,0,1,1,0,3.21158690176322
"48",0,0,1,0,1,0,0,2.10846707249585
"49",1,0,0,0,0,0,0,27.7738577212261
"50",0,0,1,0,1,1,0,25.1847290640394
"51",1,0,1,0,0,0,0,39.0039506172839
"52",0,1,0,0,0,0,0,24.9429778247096
"53",0,1,0,0,1,0,0,1
"54",0,1,1,0,1,0,1,21.2675276752768
"55",0,0,1,0,0,0,0,18.0126655152562
"56",1,0,0,0,0,0,0,33.6187443130118
"57",0,0,0,0,1,1,0,2.90726817042607
"58",0,0,1,0,0,0,0,46.0716743119266
"59",1,0,1,0,1,0,0,6.80280898876405
"60",0,0,0,0,1,0,0,26.5100806451613
"61",0,0,0,0,1,1,0,1.68079800498753
"62",1,0,1,0,1,0,1,28.2448160535117
"63",0,1,1,0,0,0,0,10.0328445747801
"64",0,0,0,0,0,0,0,8.42885638297872
"65",1,1,1,0,0,0,0,5.63011262596325
"66",0,1,1,0,1,0,0,15.0594671741199
"67",0,0,0,0,1,1,0,10.2113402061856
"68",0,0,1,1,0,0,1,21.824230387289
"69",0,0,0,0,1,0,0,28.9276393831554
"70",0,1,0,0,0,0,0,4.38561320754717
"71",0,1,1,0,1,0,0,1.94874781595807
"72",1,0,1,0,1,0,0,3.62840079628401
"73",1,0,0,1,0,0,1,52.3575819672131
