"","gender","is_senior_citizen","partner","dependents","phone_service","internet_service","payment_type","monthly_charges","total_charges","churn"
"1","Male","No","No","No","Two-plus lines","DSL","Mailed check",59.9,542.4,"No"
"2","Male","No","No","No","One line","Fiber optic","Electronic check",73.9,280.85,"Yes"
"3","Male","Yes","Yes","No","One line","Fiber optic","Electronic check",98,1237.85,"Yes"
"4","Female","Yes","Yes","No","One line","Fiber optic","Mailed check",83.9,267.4,"Yes"
"5","Female","No","No","Yes","One line","DSL","Credit card",69.4,571.45,"No"
"6","Female","Yes","No","No","One line","DSL","Electronic check",48.2,340.35,"No"
"7","Female","No","Yes","No","One line","Fiber optic","Electronic check",68.95,351.5,"No"
"8","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",72.1,72.1,"No"
"9","Male","Yes","No","No","None","DSL","Electronic check",25.1,25.1,"Yes"
"10","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",94.1,1215.6,"Yes"
"11","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",83.75,1849.95,"No"
"12","Female","No","No","No","One line","None","Mailed check",19.85,57.2,"No"
"13","Female","No","Yes","Yes","One line","None","Mailed check",20.35,76.35,"Yes"
"14","Female","No","Yes","Yes","None","DSL","Bank transfer",30.5,30.5,"Yes"
"15","Female","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",89.8,4959.6,"No"
"16","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",94.75,5597.65,"No"
"17","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",75.75,1929,"No"
"18","Male","Yes","No","No","One line","DSL","Electronic check",49.25,91.1,"Yes"
"19","Male","No","No","Yes","None","DSL","Mailed check",45,1242.45,"No"
"20","Male","No","No","No","One line","DSL","Mailed check",44.3,44.3,"No"
"21","Male","No","No","No","One line","Fiber optic","Electronic check",94.2,2607.6,"No"
"22","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Credit card",99.95,3767.4,"No"
"23","Female","Yes","No","No","One line","Fiber optic","Electronic check",91.55,3673.6,"No"
"24","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",104.5,4036.85,"Yes"
"25","Female","Yes","No","No","One line","Fiber optic","Electronic check",95,1120.3,"Yes"
"26","Female","No","Yes","No","Two-plus lines","DSL","Electronic check",50.35,314.55,"No"
"27","Male","No","No","No","Two-plus lines","DSL","Mailed check",64.5,1888.45,"No"
"28","Male","No","No","No","One line","None","Electronic check",19.4,529.8,"No"
"29","Male","No","No","No","Two-plus lines","DSL","Bank transfer",71.4,1212.1,"No"
"30","Male","No","No","No","One line","None","Electronic check",19.85,19.85,"Yes"
"31","Male","No","No","Yes","Two-plus lines","Fiber optic","Electronic check",99.75,99.75,"Yes"
"32","Male","Yes","Yes","Yes","One line","Fiber optic","Mailed check",93.95,2861.45,"No"
"33","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",90.8,1442.2,"No"
"34","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",107.55,3645.5,"No"
"35","Female","No","Yes","No","One line","None","Bank transfer",19.95,187.75,"No"
"36","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",111.2,2317.1,"Yes"
"37","Male","No","Yes","Yes","None","DSL","Bank transfer",40.2,1448.8,"Yes"
"38","Female","Yes","No","No","One line","Fiber optic","Credit card",85.8,2193.65,"No"
"39","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",73.85,511.25,"Yes"
"40","Male","No","No","No","One line","Fiber optic","Electronic check",101.35,1553.95,"Yes"
"41","Female","No","No","Yes","None","DSL","Mailed check",45.8,1147,"No"
"42","Male","No","Yes","No","One line","Fiber optic","Electronic check",94.65,6747.35,"No"
"43","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",89.4,5976.9,"No"
